time,tripStartWeekday,0
0,1,1.0
0,2,1.0
0,3,1.0
0,4,1.0
0,5,1.0
0,6,1.0
0,7,1.0
1,1,1.0
1,2,1.0
1,3,0.9922009868652235
1,4,1.0
1,5,1.0
1,6,1.0
1,7,0.9988381621795411
2,1,1.0
2,2,1.0
2,3,1.0
2,4,1.0
2,5,1.0
2,6,1.0
2,7,1.0
3,1,1.0
3,2,1.0
3,3,1.0
3,4,1.0
3,5,1.0
3,6,1.0
3,7,1.0
4,1,1.0
4,2,0.9647234832066516
4,3,1.0
4,4,1.0
4,5,1.0
4,6,1.0
4,7,1.0
5,1,1.0
5,2,0.9584961971787013
5,3,0.8706555857589626
5,4,1.0
5,5,0.9611607701120584
5,6,0.975789943545573
5,7,1.0
6,1,0.8648474136122913
6,2,0.9479219520960445
6,3,0.8251109401547121
6,4,0.9524760373381335
6,5,0.8914731454808227
6,6,0.975789943545573
6,7,1.0
7,1,0.5918724843352878
7,2,0.8597109081580615
7,3,0.680367610676169
7,4,0.7945997844877847
7,5,0.7987015139069518
7,6,0.7401770237529451
7,7,1.0
8,1,0.5242413812289721
8,2,0.71526102760721
8,3,0.6368500928700542
8,4,0.6702079589750192
8,5,0.7205042223651603
8,6,0.7255585538593425
8,7,0.978538426205887
9,1,0.36424108017062273
9,2,0.5651668770955274
9,3,0.5678849659631782
9,4,0.6335476392832877
9,5,0.6542111391302993
9,6,0.8206365667653673
9,7,0.6571935584515598
10,1,0.34060747629130983
10,2,0.5519085079797906
10,3,0.5826857753588532
10,4,0.6247770185047344
10,5,0.6303999961554497
10,6,0.7976978361929052
10,7,0.6386834635607158
11,1,0.3864580448112858
11,2,0.5337205767541591
11,3,0.5554403056757777
11,4,0.6929097518351589
11,5,0.637426476526915
11,6,0.7208133440015589
11,7,0.5192409925642332
12,1,0.5730782863160039
12,2,0.6400491364594558
12,3,0.6046655591406311
12,4,0.5964559175007572
12,5,0.7376419995724688
12,6,0.6980055110605434
12,7,0.6809820906495948
13,1,0.5602177870227769
13,2,0.6759073777168397
13,3,0.6159259305662486
13,4,0.5465671489772826
13,5,0.639976312570294
13,6,0.6726397358750945
13,7,0.7883381365599406
14,1,0.5749527527791212
14,2,0.5828729023232904
14,3,0.5666002118454628
14,4,0.4894820333533173
14,5,0.7878368057674643
14,6,0.5366897158907247
14,7,0.8480168597492722
15,1,0.6207239427372724
15,2,0.6045543577104687
15,3,0.6894170605389366
15,4,0.22327593962779144
15,5,0.8708987209698487
15,6,0.5387633896167686
15,7,0.8227095119063055
16,1,0.5176405950021181
16,2,0.4749805047338715
16,3,0.4780730933901391
16,4,0.2314334871508226
16,5,0.475187590171078
16,6,0.6405932767411617
16,7,0.8359336213461201
17,1,0.6349228090125731
17,2,0.8473403864564351
17,3,0.6141054039870854
17,4,0.3843024212383568
17,5,0.5244001644870869
17,6,0.8549237171764749
17,7,0.693936646768838
18,1,0.7952812063896917
18,2,0.8936431642900625
18,3,0.5693650602035293
18,4,0.8638200468725269
18,5,0.6808234688979075
18,6,0.8997973326297656
18,7,0.6585134455893316
19,1,0.9139271840731663
19,2,0.9227559761693729
19,3,0.550458220196686
19,4,0.6730482316648325
19,5,0.706851424165202
19,6,0.9499962941126833
19,7,0.8019865578494904
20,1,0.951747258744599
20,2,0.9292286570411722
20,3,0.6452225823302702
20,4,0.6932665283278936
20,5,0.9816862262738065
20,6,0.9940047035077606
20,7,0.9330006840554596
21,1,0.9552783840656195
21,2,0.9313422670153039
21,3,0.7875732563576554
21,4,0.9263062036246905
21,5,1.0
21,6,0.9940047035077606
21,7,0.9330006840554596
22,1,1.0
22,2,0.9313422670153039
22,3,0.9389320676939698
22,4,0.929772276107254
22,5,1.0
22,6,0.9940047035077606
22,7,0.960044963744984
23,1,1.0
23,2,0.9887531123901762
23,3,1.0
23,4,0.9405535773061823
23,5,1.0
23,6,0.9940047035077606
23,7,1.0
