time,tripStartWeekday,0
0,1,0.0
0,2,-0.004005213914693962
0,3,-0.017637601947206573
0,4,-0.010488796048734194
0,5,0.0
0,6,0.0
0,7,-0.01901859725738771
1,1,0.0
1,2,0.0
1,3,0.03704531239018824
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.00220749185887181
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
4,1,0.0
4,2,0.033512690953680965
4,3,-3.0685723898881744e-05
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
5,1,-4.5920919570367404e-05
5,2,0.08863688321743461
5,3,0.6519845430366763
5,4,4.015981343655065e-06
5,5,0.2140329719107832
5,6,0.07359857162145828
5,7,0.0
6,1,0.15389683153928535
6,2,9.207652193915778e-06
6,3,0.07050409210442922
6,4,0.05854355561844686
6,5,1.5176746070643687
6,6,0.0
6,7,-3.0025181995712427e-18
7,1,0.6951010262939685
7,2,0.2713040919440676
7,3,0.09804125472522998
7,4,0.7625729088737695
7,5,0.18757441128312416
7,6,0.1675661652796323
7,7,0.0
8,1,0.3085058239125768
8,2,1.255390521882625
8,3,0.040615241832541005
8,4,0.1851479960772823
8,5,0.07968797351619743
8,6,0.07154779118543142
8,7,0.01924747999547986
9,1,0.4945802712059191
9,2,0.18411372025167985
9,3,0.13039158132794043
9,4,0.29475709198029987
9,5,0.10458216872751863
9,6,0.18598625793265225
9,7,0.590486739454914
10,1,0.10944805604160093
10,2,0.07240511282177972
10,3,0.030680937475452395
10,4,0.13241768354203348
10,5,0.10960056279868662
10,6,0.13544904195059523
10,7,0.1109392543157349
11,1,0.32418167755187677
11,2,0.18171474301614257
11,3,0.08679518052333214
11,4,0.06768257208606115
11,5,0.10202975222101192
11,6,0.6789977720049262
11,7,1.4503344492746848
12,1,0.08361834265794892
12,2,0.09260457746021017
12,3,0.5184409612194227
12,4,0.413519385666176
12,5,0.012260692006257354
12,6,1.7176832780962235
12,7,0.35817031693863527
13,1,0.3861283484704969
13,2,0.08838702365550163
13,3,0.26475310040164546
13,4,0.19515783285362634
13,5,0.18059504762373224
13,6,0.18844516176274304
13,7,0.31515384444647887
14,1,0.09999312828177065
14,2,0.684190177864058
14,3,0.6845415758139712
14,4,0.05867372474897839
14,5,1.5244444414469525
14,6,0.2659187302526144
14,7,0.2683856232722973
15,1,0.1478239978842884
15,2,0.3709172873826689
15,3,0.28704988863058023
15,4,0.8005802318454951
15,5,0.35664965684052424
15,6,0.2918512426400607
15,7,0.3816798471966359
16,1,1.0303178148272205
16,2,1.1700064417091156
16,3,1.1347903650971538
16,4,0.8516459173795382
16,5,1.2063906667352096
16,6,0.16672690120376468
16,7,0.07199331133873366
17,1,0.37131682463782734
17,2,0.13895238532530738
17,3,0.13632945179111508
17,4,1.3576955435509632
17,5,0.8969911745596969
17,6,0.4632886208994664
17,7,0.3030345633537316
18,1,0.3160145834941951
18,2,0.13083025383399516
18,3,0.3234122836361011
18,4,0.145654832439162
18,5,0.0834543915622866
18,6,0.6637644507122632
18,7,0.2046184307885172
19,1,0.06331811143878581
19,2,0.025989403918285206
19,3,0.6847167220936456
19,4,0.38085362529573147
19,5,0.571264227145903
19,6,0.014262696994506862
19,7,0.1576397759506551
20,1,-5.360734480291546e-06
20,2,0.019232177812798797
20,3,0.026728455611564894
20,4,0.040192328913292774
20,5,0.05220127638080785
20,6,0.0
20,7,0.0
21,1,0.20914656945379442
21,2,0.0
21,3,0.34305610560260424
21,4,9.630747072770655e-06
21,5,0.0
21,6,0.0
21,7,0.0
22,1,-1.850035996936769e-05
22,2,0.3034834786451991
22,3,0.09338548617383406
22,4,0.007350032138454464
22,5,0.0
22,6,0.0
22,7,0.0
23,1,0.0
23,2,0.020742928530825353
23,3,6.911990949036785e-06
23,4,0.04575507508138471
23,5,0.0
23,6,0.034173190005763826
23,7,0.0
