 ,,Albania,Algeria,Austria,Belgium,Bosnia_Herzegovina,Bulgaria,Croatia,Czech_Republic,Estonia,Finland,France,GermanyNorth_data,GermanySouth_data,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Morocco,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tunisia,UK,Ukraine
BEV-S,t0035,0,0,0,0,0,0,0,0,0,0,0,0.523,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0036,0,0,0,0,0,0,0,0,0,0,0,0.506,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0037,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0038,0,0,0,0,0,0,0,0,0,0,0,0.507,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0039,0,0,0,0,0,0,0,0,0,0,0,0.506,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0040,0,0,0,0,0,0,0,0,0,0,0,0.498,0.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0041,0,0,0,0,0,0,0,0,0,0,0,0.493,0.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0042,0,0,0,0,0,0,0,0,0,0,0,0.526,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0043,0,0,0,0,0,0,0,0,0,0,0,0.591,0.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0044,0,0,0,0,0,0,0,0,0,0,0,0.672,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0045,0,0,0,0,0,0,0,0,0,0,0,0.742,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0046,0,0,0,0,0,0,0,0,0,0,0,0.786,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0047,0,0,0,0,0,0,0,0,0,0,0,0.814,0.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0048,0,0,0,0,0,0,0,0,0,0,0,0.849,0.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0049,0,0,0,0,0,0,0,0,0,0,0,0.868,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0050,0,0,0,0,0,0,0,0,0,0,0,0.868,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0051,0,0,0,0,0,0,0,0,0,0,0,0.867,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0052,0,0,0,0,0,0,0,0,0,0,0,0.866,0.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0053,0,0,0,0,0,0,0,0,0,0,0,0.857,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0054,0,0,0,0,0,0,0,0,0,0,0,0.821,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0055,0,0,0,0,0,0,0,0,0,0,0,0.737,0.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0056,0,0,0,0,0,0,0,0,0,0,0,0.633,0.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0057,0,0,0,0,0,0,0,0,0,0,0,0.613,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0058,0,0,0,0,0,0,0,0,0,0,0,0.568,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0059,0,0,0,0,0,0,0,0,0,0,0,0.523,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0060,0,0,0,0,0,0,0,0,0,0,0,0.506,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0061,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0062,0,0,0,0,0,0,0,0,0,0,0,0.507,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0063,0,0,0,0,0,0,0,0,0,0,0,0.506,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0064,0,0,0,0,0,0,0,0,0,0,0,0.498,0.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0065,0,0,0,0,0,0,0,0,0,0,0,0.493,0.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0066,0,0,0,0,0,0,0,0,0,0,0,0.526,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0067,0,0,0,0,0,0,0,0,0,0,0,0.591,0.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0068,0,0,0,0,0,0,0,0,0,0,0,0.672,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0069,0,0,0,0,0,0,0,0,0,0,0,0.742,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0070,0,0,0,0,0,0,0,0,0,0,0,0.786,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0071,0,0,0,0,0,0,0,0,0,0,0,0.814,0.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0072,0,0,0,0,0,0,0,0,0,0,0,0.849,0.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0073,0,0,0,0,0,0,0,0,0,0,0,0.868,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0074,0,0,0,0,0,0,0,0,0,0,0,0.868,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0075,0,0,0,0,0,0,0,0,0,0,0,0.867,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0076,0,0,0,0,0,0,0,0,0,0,0,0.866,0.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0077,0,0,0,0,0,0,0,0,0,0,0,0.857,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0078,0,0,0,0,0,0,0,0,0,0,0,0.821,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0079,0,0,0,0,0,0,0,0,0,0,0,0.737,0.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0080,0,0,0,0,0,0,0,0,0,0,0,0.633,0.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0081,0,0,0,0,0,0,0,0,0,0,0,0.613,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0082,0,0,0,0,0,0,0,0,0,0,0,0.568,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0083,0,0,0,0,0,0,0,0,0,0,0,0.523,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0084,0,0,0,0,0,0,0,0,0,0,0,0.506,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0085,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0086,0,0,0,0,0,0,0,0,0,0,0,0.507,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0087,0,0,0,0,0,0,0,0,0,0,0,0.506,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0088,0,0,0,0,0,0,0,0,0,0,0,0.498,0.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0089,0,0,0,0,0,0,0,0,0,0,0,0.493,0.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0090,0,0,0,0,0,0,0,0,0,0,0,0.526,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0091,0,0,0,0,0,0,0,0,0,0,0,0.591,0.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0092,0,0,0,0,0,0,0,0,0,0,0,0.672,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0093,0,0,0,0,0,0,0,0,0,0,0,0.742,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0094,0,0,0,0,0,0,0,0,0,0,0,0.786,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEV-S,t0095,0,0,0,0,0,0,0,0,0,0,0,0.814,0.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
